,C_Id,Nconfigs,Nbases,RMSError(eV/atom)
AIMD-VₐVᵦ,1,31,1922,0.00563
AIMD-AᵦBₐ,2,20,1280,0.008639
AIMD-VₐVᵦ²(T),3,31,1891,0.005629
AIMD-Vᵦ,4,20,1260,0.008264
AIMD-Vₐ,5,21,1323,0.012157
AIMD-VₐVᵦ³(IP),6,20,1200,0.00875
AIMD-VₐVᵦ⁴(OP),7,20,1180,0.009881
AIMD-VₐVᵦ⁵,8,20,1160,0.00893
AIMD-VₐVᵦ⁶,9,20,1140,0.007256
NPT-1080K,10,20,1280,0.004848
NVT-1080K,11,8,512,0.002671
ISO-Vᵦ-Diff,12,43,2709,0.004014
ISO-Vₐ-Diff,13,43,2709,0.001536
EOS-CsCl-B₂,14,15,30,0.004482
EOS-PtS_B₁₇,15,6,24,0.001962
EOS-ZB-B₃,16,10,80,0.008267
AᵦBₐ,17,10,640,0.002885
Bₐ,18,7,448,0.002237
VₐVᵦ,19,8,496,0.001709
AB,20,2,128,3.7e-05
Aᵦ,21,5,320,0.003312
VₐVᵦ²(L),22,8,488,0.004458
VₐVᵦ³(IP),23,7,420,0.003882
VₐVᵦ³(OP),24,28,1680,0.002487
VₐVᵦ⁴(IP),25,7,413,0.00242
VₐVᵦ⁴(OP),26,7,413,0.002814
VₐVᵦ⁵,27,7,406,0.005539
VₐVᵦ⁶,28,7,399,0.000158
c₁₁+2c₁₂,29,32,256,0.002075
c₁₁-2c₁₂,30,38,304,0.001994
c₄₄,31,310,2480,0.000456
EOS-RS_B₁,32,40,2560,0.002023
Divac-Vᵦ-Diff,33,107,6634,0.002418
Divac-Vₐ-Diff,34,11,682,0.003479
NPT-500K,35,20,1280,0.002623
NPT-2000K,36,19,1216,0.005595
NPT-3000K,37,33,2112,0.006714
NPT-3900K,38,50,3200,0.009977
NPT-800K,39,33,2112,0.003961
Iₐ,40,14,910,0.000596
Iᵦ,41,14,910,0.003404
VᵦAᵦ,42,11,693,0.001759
VₐBₐ,43,25,1575,0.002122
Phonon_DFT,44,6,324,0.002717
X-symmetry,45,77,4928,0.000768
Vᵦ,46,43,2709,0.001527
Vₐ,47,11,693,0.001281
VₐVᵦ²(T),48,9,549,0.003219
