,C_Id,Nconfigs,Nbases,RMSError(eV/atom)
AIMD-VₐVᵦ,1,31,1922,0.005505
AIMD-AᵦBₐ,2,20,1280,0.009518
AIMD-VₐVᵦ²(T),3,31,1891,0.005609
AIMD-Vᵦ,4,40,2520,0.007137
AIMD-Vₐ,5,42,2646,0.010654
AIMD-VₐVᵦ³(IP),6,20,1200,0.009485
AIMD-VₐVᵦ⁴(OP),7,40,2360,0.008947
AIMD-VₐVᵦ⁵,8,20,1160,0.008869
AIMD-VₐVᵦ⁶,9,20,1140,0.007709
NPT-1080K,10,20,1280,0.005068
NVT-1080K,11,8,512,0.00278
ISO-Vᵦ-Diff,12,43,2709,0.004093
ISO-Vₐ-Diff,13,43,2709,0.001853
EOS-CsCl-B₂,14,15,30,0.00461
EOS-PtS_B₁₇,15,6,24,0.0022
EOS-ZB-B₃,16,10,80,0.009815
AᵦBₐ,17,10,640,0.003415
Bₐ,18,7,448,0.002697
VₐVᵦ,19,8,496,0.001954
AB,20,2,128,9e-06
Aᵦ,21,5,320,0.004909
VₐVᵦ²(L),22,8,488,0.004772
VₐVᵦ³(IP),23,7,420,0.004332
VₐVᵦ³(OP),24,28,1680,0.002606
VₐVᵦ⁴(IP),25,7,413,0.003237
VₐVᵦ⁴(OP),26,7,413,0.002203
VₐVᵦ⁵,27,7,406,0.005228
VₐVᵦ⁶,28,7,399,0.000325
c₁₁+2c₁₂,29,32,256,0.002576
c₁₁-2c₁₂,30,38,304,0.002181
c₄₄,31,310,2480,0.000472
EOS-RS_B₁,32,40,2560,0.002113
Divac-Vᵦ-Diff,33,107,6634,0.0026
Divac-Vₐ-Diff,34,11,682,0.003762
NPT-500K,35,20,1280,0.002638
NPT-2000K,36,19,1216,0.006033
NPT-3000K,37,33,2112,0.006668
NPT-3900K,38,50,3200,0.010586
NPT-800K,39,33,2112,0.004021
Iₐ,40,14,910,0.000866
Iᵦ,41,14,910,0.003965
VᵦAᵦ,42,11,693,0.002579
VₐBₐ,43,25,1575,0.002584
Phonon_DFT,44,6,324,0.002746
X-symmetry,45,77,4928,0.000933
Vᵦ,46,43,2709,0.001707
Vₐ,47,11,693,0.000843
VₐVᵦ²(T),48,9,549,0.003467
