C_Id Nconfigs Nbases RMSError(eV/atom)
1 31 1922 0.005395
2 20 1280 0.009633
3 31 1891 0.005493
4 40 2520 0.006691
5 42 2646 0.010423
6 20 1200 0.009236
7 40 2360 0.008574
8 20 1160 0.008717
9 20 1140 0.007677
10 20 1280 0.004975
11 8 512 0.002777
12 43 2709 0.003925
13 43 2709 0.001769
14 15 30 0.004531
15 5 20 0.002427
16 10 80 0.009385
17 10 640 0.003118
18 7 448 0.002339
19 8 496 0.001898
20 2 128 0.000007
21 5 320 0.004571
22 8 488 0.004560
23 7 420 0.004157
24 28 1680 0.002514
25 7 413 0.003137
26 7 413 0.002203
27 7 406 0.005227
28 7 399 0.000467
29 32 256 0.002473
30 38 304 0.002039
31 310 2480 0.000473
32 60 3840 0.001750
33 107 6634 0.002507
34 11 682 0.003739
35 20 1280 0.002673
36 19 1216 0.005698
37 33 2112 0.006553
38 50 3200 0.010460
39 33 2112 0.004023
40 14 910 0.000663
41 14 910 0.003428
42 11 693 0.002450
43 25 1575 0.002594
44 6 324 0.002748
45 77 4928 0.000870
46 43 2709 0.001519
47 11 693 0.000791
48 9 549 0.003370
