C_Id,Nconfigs,Nbases,RMSError(eV/atom)
1,31,1922,0.005505
2,20,1280,0.009518
3,31,1891,0.005609
4,40,2520,0.007137
5,42,2646,0.010654
6,20,1200,0.009485
7,40,2360,0.008947
8,20,1160,0.008869
9,20,1140,0.007709
10,20,1280,0.005068
11,8,512,0.002780
12,43,2709,0.004093
13,43,2709,0.001853
14,15,30,0.004610
15,6,24,0.002200
16,10,80,0.009815
17,10,640,0.003415
18,7,448,0.002697
19,8,496,0.001954
20,2,128,0.000009
21,5,320,0.004909
22,8,488,0.004772
23,7,420,0.004332
24,28,1680,0.002606
25,7,413,0.003237
26,7,413,0.002203
27,7,406,0.005228
28,7,399,0.000325
29,32,256,0.002576
30,38,304,0.002181
31,310,2480,0.000472
32,40,2560,0.002113
33,107,6634,0.002600
34,11,682,0.003762
35,20,1280,0.002638
36,19,1216,0.006033
37,33,2112,0.006668
38,50,3200,0.010586
39,33,2112,0.004021
40,14,910,0.000866
41,14,910,0.003965
42,11,693,0.002579
43,25,1575,0.002584
44,6,324,0.002746
45,77,4928,0.000933
46,43,2709,0.001707
47,11,693,0.000843
48,9,549,0.003467
